"시점",세대수 (세대),인구 (명),한국인 (명),외국인 (명),65세이상 고령자 (명)
"2010",1371346,3600381,3567910,32471,401784
"2011",1381257,3586079,3550963,35116,418043
"2012",1389526,3573533,3538484,35049,442199
"2013",1404663,3563578,3527635,35943,467416
"2014",1421648,3557716,3519401,38315,492116
"2015",1437818,3559780,3513777,46003,514630
"2016",1451270,3546887,3498529,48358,536064
"2017",1467555,3520306,3470653,49653,565527
"2018",1480468,3494019,3441453,52566,589961
"2019",1497908,3466563,3413841,52722,620123
"2020",1530431,3438710,3391946,46764,657711
