업체명,사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,경차요금,소형차요금,중형차요금,대형차요금,승합차요금,레저용차요금,수입차요금,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일,홈페이지주소,대표자명,전화번호,데이터기준일자,제공기관코드,제공기관명
㈜디디렌트카,주사업장,서울특별시 노원구 동일로250길 69(상계동),,37.6828556660,127.0590885081,"서울특별시 노원구 상계동 1227, 1229, 1230",,,60,55,5,0,0,,,,,,,,00:00,23:59,,,,,,,,02-937-9963,2022-08-17,3100000,서울특별시 노원구
인천공항렌트카㈜,주사업장,서울특별시 노원구 동일로 178길 10 201호(공릉동),,37.621287,127.075141,서울특별시 양천구 목동서로 225,,,66,4,62,0,0,,,,,,,,00:00,23:59,,,,,,,,02-1599-2924,2022-08-17,3100000,서울특별시 노원구
브이아이피렌트카㈜,주사업장,강원도 강릉시 하슬라로 18(홍제동),강원도 강릉시 홍제동 991,37.75515453,128.8799999,강원도 강릉시 하슬라로 18(홍제동),,,83,82,1,0,0,,,,,,,,09:00,20:00,,,,,,,조대현,033-643-4664,2022-12-09,4200000,강원도 강릉시
(유)더굿카,주사업장,강원도 강릉시 하슬라로 18(홍제동),강원도 강릉시 홍제동 991,37.75515453,128.8799999,강원도 강릉시 회산동 235-7,,,184,179,5,0,0,,,,,,,,08:00,21:30,,,,,,,박종대,033-655-7977,2022-12-09,4200000,강원도 강릉시
(합)우리렌터카,주사업장,강원도 강릉시 경강로2224번길 5 (포남동),강원도 강릉시 포남동 1142-1,37.76242337,128.9070636,강원도 강릉시 경강로2224번길 5 (포남동),,,90,88,2,0,0,,,,,,,,08:00,19:00,,,,,,,,033-646-1588,2022-12-09,4200000,강원도 강릉시
㈜휙고,주사업장,강원도 강릉시 용지로 174-10,,37.76406631,128.9004976,,강원도 강릉시 교동 118 외필지,,38,0,0,38,0,,,,,,,,09:00,23:59,,,,,,,,000-0000-0000,2022-12-09,4200000,강원도 강릉시
코바렌터카㈜,영업소,강원도 강릉시 하슬라로 40(홍제동),강원도 강릉시 홍제동 988,37.75530436,128.877227,강원도 강릉시 강변로534번길 55 (입암동),,,52,52,0,0,0,,,,,,,,09:00,23:59,,,,,,,,033-643-1022,2022-12-09,4200000,강원도 강릉시
마춤카㈜,영업소,강원도 강릉시 구정면 회산로 44-4,강원도 강릉시 구정면 제비리 924-1,37.7248314,128.8428416,강원도 강릉시 구정면 학산리 651,,,176,175,1,0,0,,,,,,,,09:00,23:59,,,,,,,,033-641-3946,2022-12-09,4200000,강원도 강릉시
기아㈜,영업소,강원도 강릉시 강변로604번길 11-4(입암동),강원도 강릉시 입암동 691-8,37.7675182,128.9268023,강원도 강릉시 강변로604번길 11-4 (입암동),,,7,7,0,0,0,,,,,,,,09:00,20:00,,,,,,,,033-650-8544,2022-12-09,4200000,강원도 강릉시
㈜신형렌트카,영업소,강원도 강릉시 연곡면 영진길 3,강원도 강릉시 연곡면 영진리 355-4,37.87085749,128.836514,강원도 강릉시 연곡면 연주로 169,,,8,8,0,0,0,,,,,,,,09:00,23:59,,,,,,,,033-641-3534,2022-12-09,4200000,강원도 강릉시
