"규모별","항목","시점",C.제조업(10~34),F.건설업(41~42),G.도매 및 소매업(45~47),J.정보통신업(58~63),K.금융 및 보험업(64~66)
"전규모(1인이상)","전체근로시간 (시간)","2020.01",168.3,136.6,160.2,159.2,157.8
"전규모(1인이상)","전체근로시간 (시간)","2020.02",169.8,132.0,159.9,160.3,158.4
"전규모(1인이상)","전체근로시간 (시간)","2020.03",185.0,144.3,170.8,174.6,173.2
"전규모(1인이상)","전체근로시간 (시간)","2020.04",169.9,136.1,159.2,159.1,157.7
"전규모(1인이상)","전체근로시간 (시간)","2020.05",157.4,130.3,154.6,150.6,149.3
"전규모(1인이상)","전체근로시간 (시간)","2020.06",177.7,143.3,171.3,174.2,172.5
"전규모(1인이상)","전체근로시간 (시간)","2020.07",184.2,145.5,177.3,179.3,178.7
"전규모(1인이상)","전체근로시간 (시간)","2020.08",160.3,132.6,158.2,156.9,153.9
"전규모(1인이상)","전체근로시간 (시간)","2020.09",176.4,137.5,166.0,165.3,164.0
"전규모(1인이상)","전체근로시간 (시간)","2020.10",163.4,127.8,152.7,150.1,148.6
"전규모(1인이상)","전체근로시간 (시간)","2020.11",178.0,136.5,165.2,166.3,162.5
"전규모(1인이상)","전체근로시간 (시간)","2020.12",181.8,140.8,170.5,169.1,168.7
"전규모(1인이상)","전체근로시간 (시간)","2021.01",170.8,135.5,160.5,160.0,158.5
"전규모(1인이상)","전체근로시간 (시간)","2021.02",154.0,121.3,146.0,145.2,144.2
"전규모(1인이상)","전체근로시간 (시간)","2021.03",183.6,140.7,171.4,172.8,173.0
"전규모(1인이상)","전체근로시간 (시간)","2021.04",183.9,141.2,172.0,174.3,173.2
"전규모(1인이상)","전체근로시간 (시간)","2021.05",164.8,129.3,155.2,151.7,149.4
"전규모(1인이상)","전체근로시간 (시간)","2021.06",183.9,142.1,171.9,173.6,171.6
"전규모(1인이상)","전체근로시간 (시간)","2021.07",182.1,140.5,171.4,173.1,170.7
"전규모(1인이상)","전체근로시간 (시간)","2021.08",166.5,136.0,163.5,165.4,161.1
"전규모(1인이상)","전체근로시간 (시간)","2021.09",159.8,127.8,152.2,150.9,147.8
"전규모(1인이상)","전체근로시간 (시간)","2021.10",164.0,128.8,154.4,150.8,147.2
"전규모(1인이상)","전체근로시간 (시간)","2021.11",183.1,141.7,171.2,173.7,170.3
"전규모(1인이상)","전체근로시간 (시간)","2021.12",186.0,145.5,175.8,176.6,176.1
"전규모(1인이상)","전체근로시간 (시간)","2022.01",169.1,135.3,159.9,160.1,156.5
"전규모(1인이상)","전체근로시간 (시간)","2022.02",151.8,118.9,145.1,143.8,140.9
"전규모(1인이상)","전체근로시간 (시간)","2022.03",174.0,135.6,164.4,164.6,161.0
"전규모(1인이상)","전체근로시간 (시간)","2022.04",175.8,137.4,166.4,166.8,163.9
"전규모(1인이상)","전체근로시간 (시간)","2022.05",175.0,136.5,165.2,166.0,163.3
"전규모(1인이상)","전체근로시간 (시간)","2022.06",169.9,135.0,159.5,159.2,156.6
"전규모(1인이상)","전체근로시간 (시간)","2022.07",174.5,136.5,164.9,166.2,162.7
"전규모(1인이상)","전체근로시간 (시간)","2022.08",169.7,138.6,168.3,170.9,167.9
"전규모(1인이상)","전체근로시간 (시간)","2022.09",166.0,131.1,157.8,158.2,156.2
"전규모(1인이상)","전체근로시간 (시간)","2022.10",164.1,128.7,154.0,152.1,148.6
"전규모(1인이상)","전체근로시간 (시간)","2022.11",182.8,139.0,171.7,173.9,171.3
"전규모(1인이상)","전체근로시간 (시간)","2022.12",180.2,139.1,170.5,169.4,169.0
