"시점",서울특별시,부산광역시,대전광역시,제주특별자치도
"시점",서울특별시,부산광역시,대전광역시,제주특별자치도
"2011.01",44,38,39,29
"2011.02",75,57,63,52
"2011.03",65,58,59,48
"2011.04",56,56,52,50
"2011.05",72,76,67,76
"2011.06",44,52,43,43
"2011.07",28,41,28,28
"2011.08",27,35,25,29
"2011.09",29,33,28,26
"2011.10",42,43,42,40
"2011.11",38,41,40,36
"2011.12",46,41,43,36
"2012.01",60,45,51,47
"2012.02",50,46,45,39
"2012.03",46,47,46,45
"2012.04",51,53,49,41
"2012.05",52,58,53,51
"2012.06",40,38,37,23
"2012.07",28,40,27,21
"2012.08",22,34,19,19
"2012.09",27,35,28,31
"2012.10",33,42,33,37
"2012.11",42,47,44,44
"2012.12",41,36,38,26
"2013.01",64,56,58,44
"2013.02",45,47,47,37
"2013.03",55,66,54,56
"2013.04",52,49,48,46
"2013.05",55,62,53,58
"2013.06",40,47,40,36
"2013.07",34,47,28,30
"2013.08",35,47,28,31
"2013.09",28,33,29,34
"2013.10",29,38,30,39
"2013.11",42,43,39,50
"2013.12",55,47,46,45
"2014.01",57,57,56,56
"2014.02",57,45,51,48
"2014.03",60,50,50,57
"2014.04",58,53,45,51
"2014.05",63,71,59,81
"2014.06",38,54,39,54
"2014.07",38,48,31,41
"2014.08",29,36,23,35
"2014.09",29,39,27,34
"2014.10",33,39,29,38
"2014.11",45,47,39,40
"2014.12",44,42,43,49*
"2015.01",49,47,52,51
"2015.02",84,63,68,63
"2015.03",71,56,68,62
"2015.04",45,48,40,48
"2015.05",45,56,49,42
"2015.06",35,49,40,41
"2015.07",30,37*,31*,36
"2015.08",34,39*,32*,39
"2015.09",28,29*,27,33
"2015.10",44,43*,50,51
"2015.11",33,33,37,41*
"2015.12",48,41,49,42
"2016.01",50,45,48,45
"2016.02",45,46,46,53
"2016.03",64,52,59,53
"2016.04",71,60,64,61
"2016.05",56,53,49,56
"2016.06",46,39,38,38
"2016.07",33,29,27,29
"2016.08",34,36,29,31
"2016.09",37,36,32,36
"2016.10",38,37,36,42
"2016.11",52,49,51,43
"2016.12",48,44,47,38
"2017.01",53,45,51,37
"2017.02",46,42,46,39
"2017.03",60,52,54,47
"2017.04",56,54,58,59
"2017.05",63,58,63,50
"2017.06",41,42,43,40
"2017.07",33,37,32,31
"2017.08",21,28,24,30**
"2017.09",32,39,37,36*
"2017.10",29,32,36,30
"2017.11",42,50,51,45
"2017.12",50,46,49,37
"2018.01",52,45,56,35
"2018.02",53,52,56,43
"2018.03",52,44,52,43
"2018.04",52,63,60,56
"2018.05",42,44,47,38
"2018.06",37,41,38,35
"2018.07",24,37,26,25
"2018.08",22,28,22,24
"2018.09",20,26,22,27
"2018.10",28,32,31,31
"2018.11",52,47,63,42
"2018.12",43,40,51,33
"2019.01",66,48,66,39
"2019.02",57,48,62,46
"2019.03",69,51,68,56
"2019.04",41,40,40,43
"2019.05",52,47,46,47
"2019.06",29,32,30,34
"2019.07",26,26,23,27
"2019.08",25,30,25,30
"2019.09",21,24,22,28
"2019.10",31,27,29,34
"2019.11",40,35,43,44
"2019.12",42,35,40,33
"2020.01",42,32,41,35
"2020.02",41,34,38,38
"2020.03",45,33,40,39
"2020.04",44,36,41,44
"2020.05",35,32,32,38
"2020.06",36,27,34,28
"2020.07",21,18,16,21
"2020.08",23,31,20,24
"2020.09",19,24,21,28
"2020.10",33,30,33,34
"2020.11",42,31,37,31
"2020.12",42,33,38,28
"2021.01",38,36,39,34
"2021.02",48,37,42,36
"2021.03",67,60,63,76
"2021.04",42,37,41,37
"2021.05",61,36,56,44
"2021.06",33,26,31,27
"2021.07",24,18,16,17
"2021.08",22,19,18*,16
"2021.09",15,17,15,19
"2021.10",27,23,27,24
"2021.11",45,34,38,38
"2021.12",39,31,40,30
