"시점",경제성장률 (%),판매전력량 (백만kWh),주택용판매전력량 (백만kWh),일반용판매전력량 (백만kWh),교육용판매전력량 (백만kWh),산업용판매전력량 (백만kWh),농사용판매전력량 (백만kWh),가로등판매전력량 (백만kWh),심야판매전력량 (백만kWh),인구1인당전력소비량 (kWh/년)
"2010",6.5,434160,63199,97410,7452,232672,10654,3081,19690,8883
"2011",3.7,455070,63523,99504,7568,251491,11232,3145,18607,9142
"2012",2.3,466593,65484,101593,7860,258102,12776,3158,17620,9331
"2013",2.9,474849,65815,102196,7947,265373,13866,3156,16496,9285
"2014",3.3,477592,64457,100761,7438,272552,14505,3221,14658,9305
"2015",2.6,483655,65619,103679,7691,273548,15702,3341,14075,9555
"2016",2.8,497039,68057,108617,8079,278828,16580,3462,13416,9699
"2017",3.1,507746,68544,111298,8316,285970,17251,3557,12811,9869
"2018",2.7,526149,72895,116934,8678,292999,18504,3583,12558,10195
"2019",2.0,520499,72639,116227,8561,289240,18882,3571,11379,10039
"2020",-1.0,509270,76303,113639,7515,278660,19029,3507,10616,9826
"2021",4.0,533431,79915,119550,8423,291333,20603,3444,10162,10330
