"시도명(1)","시군구(1)",2023.02,2023.02,2023.02,2023.02,2023.02,2023.02,2023.02,2023.02,2023.02,2023.02,2023.02,2023.02
"시도명(1)","시군구(1)",승용,승용,승용,승합,승합,승합,화물,화물,화물,특수,특수,특수
"시도명(1)","시군구(1)",관용,자가용,영업용,관용,자가용,영업용,관용,자가용,영업용,관용,자가용,영업용
"부산","금정구",96,66781,2555,62,2193,784,102,9785,3229,14,172,665
"부산","기장군",80,70924,795,54,2181,546,117,10742,1133,11,208,207
"부산","남구",104,79389,2848,62,2192,426,54,9127,4639,3,282,1543
"부산","동구",83,37106,1900,48,911,180,60,3608,2544,4,96,1060
"부산","동래구",81,84943,1494,29,2063,367,66,10196,1478,1,187,256
"부산","부산진구",130,110868,18647,62,2957,558,165,13105,2244,11,176,519
"부산","북구",96,87822,1522,50,2319,322,87,12239,1620,5,191,235
"부산","사상구",90,66028,2555,70,2230,317,113,14818,2304,11,204,325
"부산","사하구",101,92303,3460,53,2833,336,103,13117,1977,9,187,289
"부산","서구",63,25678,399,34,941,22,42,3619,993,1,56,93
"부산","수영구",52,58043,52460,25,1492,1027,79,5748,1153,11,125,364
"부산","연제구",305,98876,10633,469,1684,536,177,8409,2228,29,171,701
"부산","영도구",85,26372,1322,49,1014,299,84,4139,368,10,47,53
"부산","해운대구",132,149127,13571,61,3323,266,125,13266,2146,9,292,500
