"시점",특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범
"시점",주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범
"시점",마약류관리에관한법률(대마),마약류관리에관한법률(대마),마약류관리에관한법률(대마),마약류관리에관한법률(대마),마약류관리에관한법률(대마),마약류관리에관한법률(마약),마약류관리에관한법률(마약),마약류관리에관한법률(마약),마약류관리에관한법률(마약),마약류관리에관한법률(마약),마약류관리에관한법률(향정),마약류관리에관한법률(향정),마약류관리에관한법률(향정),마약류관리에관한법률(향정),마약류관리에관한법률(향정)
"시점",합계,마약류,마약류,마약류,마약류,합계,마약류,마약류,마약류,마약류,합계,마약류,마약류,마약류,마약류
"시점",소계,소계,마약,대마,향정신성의약품,소계,소계,마약,대마,향정신성의약품,소계,소계,마약,대마,향정신성의약품
"2014",909,491,27,452,12,622,89,70,7,12,5351,2809,363,30,2416
"2015",933,193,31,158,4,1047,13,8,-,5,6896,953,241,6,706
"2016",1056,91,7,80,4,1305,19,14,-,5,7628,706,114,6,586
"2017",1315,140,9,122,9,1346,30,24,-,6,7700,832,135,14,683
"2018",1189,566,17,520,29,1349,133,100,4,29,6465,3291,190,29,3072
"2019",1963,944,16,896,32,1494,170,129,6,35,7789,4126,237,77,3812
"2020",2340,1148,16,1088,44,2000,249,186,7,56,8933,4122,255,60,3807
"2021",2264,1070,13,1003,54,1454,229,190,4,35,7550,3808,244,79,3485
