"죄종별(1)",죄종별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상
"죄종별(1)",죄종별(2),소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계
"계",소계,316007,433,50,32,351,54,15025,192289,108206,333447,140,13,13,114,47,13902,199372,119986,347090,148,23,12,113,46,12880,211430,122586,327588,174,16,23,135,60,12769,198490,116095,323924,786,87,56,643,67,12687,189001,121383,340589,1067,127,117,823,120,11370,198625,129407,319658,1181,153,100,928,29,11254,180897,126297,273150,1203,138,134,931,11,10690,168368,92878
"강력범죄",소계,882,4,-,-,4,-,42,625,211,948,-,-,-,-,-,49,671,228,975,-,-,-,-,-,43,691,241,1078,-,-,-,-,-,63,746,269,1188,-,-,-,-,-,72,790,326,1317,1,-,-,1,-,65,817,434,1343,4,1,-,3,-,72,806,461,1085,5,3,-,2,-,54,661,365
"강력범죄",살인기수,105,1,-,-,1,-,3,75,26,89,-,-,-,-,-,1,61,27,82,-,-,-,-,-,3,63,16,72,-,-,-,-,-,2,57,13,67,-,-,-,-,-,2,46,19,80,1,-,-,1,-,3,52,24,85,-,-,-,-,-,1,55,29,80,-,-,-,-,-,2,50,28
"강력범죄",살인미수등,63,2,-,-,2,-,3,44,14,69,-,-,-,-,-,2,43,24,61,-,-,-,-,-,3,45,13,63,-,-,-,-,-,5,47,11,81,-,-,-,-,-,14,50,17,69,-,-,-,-,-,-,48,21,78,-,-,-,-,-,4,48,26,63,1,-,-,1,-,2,48,12
"강력범죄",강도,184,1,-,-,1,-,3,148,32,213,-,-,-,-,-,3,180,30,167,-,-,-,-,-,2,130,35,142,-,-,-,-,-,1,122,19,132,-,-,-,-,-,1,113,18,164,-,-,-,-,-,-,143,21,176,2,-,-,2,-,2,134,38,99,1,-,-,1,-,-,82,16
"강력범죄",강간,71,-,-,-,-,-,3,53,15,57,-,-,-,-,-,3,38,16,67,-,-,-,-,-,-,42,25,72,-,-,-,-,-,-,53,19,89,-,-,-,-,-,4,54,31,96,-,-,-,-,-,3,43,50,103,-,-,-,-,-,7,56,40,78,1,1,-,-,-,5,39,33
"강력범죄",유사강간,7,-,-,-,-,-,-,5,2,9,-,-,-,-,-,1,7,1,7,-,-,-,-,-,1,6,-,14,-,-,-,-,-,-,9,5,21,-,-,-,-,-,-,11,10,25,-,-,-,-,-,1,12,12,43,-,-,-,-,-,3,27,13,22,-,-,-,-,-,-,10,12
"강력범죄",강제추행,245,-,-,-,-,-,7,138,100,259,-,-,-,-,-,15,148,96,359,-,-,-,-,-,18,218,123,487,-,-,-,-,-,34,277,176,563,-,-,-,-,-,38,323,202,658,-,-,-,-,-,45,348,265,655,-,-,-,-,-,39,327,289,570,-,-,-,-,-,37,289,244
"강력범죄",기타 강간·강제추행 등,22,-,-,-,-,-,-,16,6,30,-,-,-,-,-,1,16,13,7,-,-,-,-,-,-,6,1,9,-,-,-,-,-,1,7,1,9,-,-,-,-,-,2,4,3,13,-,-,-,-,-,3,7,3,14,1,-,-,1,-,-,7,6,5,-,-,-,-,-,-,4,1
"강력범죄",방화,185,-,-,-,-,-,23,146,16,222,-,-,-,-,-,23,178,21,225,-,-,-,-,-,16,181,28,219,-,-,-,-,-,20,174,25,226,-,-,-,-,-,11,189,26,212,-,-,-,-,-,10,164,38,189,1,1,-,-,-,16,152,20,168,2,2,-,-,-,8,139,19
"절도범죄",소계,19892,6,4,-,2,2,240,17908,1736,21528,1,-,-,1,1,180,19413,1933,24479,1,-,-,1,1,209,22029,2239,25201,6,1,-,5,1,201,22357,2636,24100,10,2,1,7,-,277,21190,2623,26316,20,3,1,16,1,258,23150,2887,25760,14,2,1,11,1,237,22636,2872,24489,7,1,1,5,-,168,21893,2421
"폭력범죄",소계,54836,2,1,-,1,2,3199,33328,18305,59226,5,2,1,2,3,2848,35554,20816,61668,5,1,-,4,6,2573,36753,22331,60162,2,-,1,1,1,2662,35197,22300,59167,9,4,1,4,2,2900,34091,22165,61928,13,3,-,10,5,3168,35775,22967,55441,5,-,1,4,1,2968,32025,20442,48573,6,-,1,5,-,2720,31034,14813
"폭력범죄",상해,10591,-,-,-,-,-,704,8627,1260,10103,-,-,-,-,1,555,8378,1169,10139,-,-,-,-,1,609,8316,1213,9281,-,-,-,-,-,547,7658,1076,8483,1,-,-,1,-,616,6662,1204,8202,-,-,-,-,2,614,6457,1129,7404,1,-,-,1,-,553,5755,1095,5932,2,-,1,1,-,475,4734,721
"폭력범죄",폭행,25847,1,-,-,1,-,1165,11280,13401,31235,3,1,-,2,1,1107,14250,15874,36097,5,1,-,4,2,1206,17108,17776,35781,-,-,-,-,1,1298,16678,17804,35819,4,2,-,2,1,1469,16952,17393,37763,4,-,-,4,-,1695,18442,17622,33022,1,-,1,-,1,1604,16311,15105,28624,1,-,-,1,-,1494,16535,10594
"폭력범죄",체포·감금,231,-,-,-,-,-,1,75,155,229,-,-,-,-,-,1,95,133,283,-,-,-,-,-,1,144,138,338,-,-,-,-,-,6,164,168,281,-,-,-,-,-,1,134,146,304,-,-,-,-,-,4,122,178,279,-,-,-,-,-,1,105,173,283,-,-,-,-,-,4,126,153
"폭력범죄",협박,704,-,-,-,-,-,9,333,362,1132,-,-,-,-,-,21,567,544,1707,-,-,-,-,-,68,999,640,1809,-,-,-,-,-,59,1051,699,2225,-,-,-,-,-,84,1275,866,2834,1,-,-,1,1,97,1608,1127,2867,1,-,-,1,-,114,1581,1171,2975,3,-,-,3,-,146,1849,977
"폭력범죄",약취·유인,68,-,-,-,-,-,1,39,28,80,-,-,-,-,-,-,42,38,93,-,-,-,-,-,-,63,30,83,-,-,-,-,-,-,47,36,86,-,-,-,-,-,-,50,36,119,-,-,-,-,-,-,57,62,89,-,-,-,-,-,-,46,43,92,-,-,-,-,-,-,61,31
"폭력범죄",폭력행위등,13055,1,1,-,-,2,1050,9775,2227,11755,1,1,-,-,1,892,8808,2053,8015,-,-,-,-,3,407,6205,1400,7622,1,-,1,-,-,460,5856,1305,6713,-,-,-,-,-,386,5156,1171,6422,6,2,-,4,-,390,4661,1365,5360,1,-,-,1,-,331,3827,1201,4478,-,-,-,-,-,265,3340,873
"폭력범죄",공갈,482,-,-,-,-,-,1,315,166,421,-,-,-,-,-,1,248,172,463,-,-,-,-,-,1,261,201,479,-,-,-,-,-,1,276,202,524,-,-,-,-,-,1,290,233,534,-,-,-,-,-,2,312,220,587,-,-,-,-,-,4,318,265,462,-,-,-,-,-,1,282,179
"폭력범죄",손괴,3858,-,-,-,-,-,268,2884,706,4271,1,-,1,-,-,271,3166,833,4871,-,-,-,-,-,281,3657,933,4769,1,-,-,1,-,291,3467,1010,5036,4,2,1,1,1,343,3572,1116,5750,2,1,-,1,2,366,4116,1264,5833,1,-,-,1,-,361,4082,1389,5727,-,-,-,-,-,335,4107,1285
