"죄종별(1)",죄종별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상
"죄종별(1)",죄종별(2),소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계
"계",소계,28456,236,15,96,125,1,2572,19839,5808,35443,89,5,18,66,2629,25039,7686,41044,68,5,7,56,2473,29816,8687,33905,49,2,12,35,1,2472,23706,7677,32313,401,12,54,335,1,2570,21348,7993,36400,630,32,94,504,6,2495,24490,8779,35390,805,35,132,638,2,2319,23606,8658,29450,936,60,111,765,-,2034,19879,6601
"강력범죄",소계,676,1,-,1,-,-,63,522,90,841,-,-,-,-,58,678,105,830,-,-,-,-,67,642,121,913,-,-,-,-,-,85,675,153,926,1,-,-,1,-,116,635,174,905,3,1,2,-,-,104,607,191,753,2,-,-,2,-,90,479,182,642,2,-,-,2,-,63,427,150
"강력범죄",살인기수,26,-,-,-,-,-,3,19,4,39,-,-,-,-,-,34,5,34,-,-,-,-,1,32,1,37,-,-,-,-,-,8,22,7,22,-,-,-,-,-,3,17,2,28,-,-,-,-,-,1,22,5,25,-,-,-,-,-,2,20,3,14,-,-,-,-,-,1,10,3
"강력범죄",살인미수등,54,-,-,-,-,-,6,45,3,54,-,-,-,-,5,48,1,74,-,-,-,-,3,64,7,66,-,-,-,-,-,8,56,2,60,-,-,-,-,-,7,50,3,54,-,-,-,-,-,4,45,5,51,-,-,-,-,-,5,41,5,26,-,-,-,-,-,3,22,1
"강력범죄",강도,74,-,-,-,-,-,6,60,8,118,-,-,-,-,4,104,10,77,-,-,-,-,7,62,8,63,-,-,-,-,-,2,54,7,51,-,-,-,-,-,3,41,7,70,1,-,1,-,-,7,53,9,66,2,-,-,2,-,1,57,6,51,2,-,-,2,-,1,41,7
"강력범죄",강간,96,1,-,1,-,-,9,62,24,114,-,-,-,-,6,73,35,126,-,-,-,-,10,70,46,121,-,-,-,-,-,10,74,37,122,1,-,-,1,-,4,66,51,164,2,1,1,-,-,15,87,60,139,-,-,-,-,-,20,62,57,154,-,-,-,-,-,10,80,64
"강력범죄",유사강간,13,-,-,-,-,-,-,6,7,7,-,-,-,-,-,7,-,7,-,-,-,-,1,5,1,13,-,-,-,-,-,-,9,4,15,-,-,-,-,-,2,12,1,12,-,-,-,-,-,3,7,2,22,-,-,-,-,-,2,15,5,21,-,-,-,-,-,3,11,7
"강력범죄",강제추행,372,-,-,-,-,-,34,298,40,464,-,-,-,-,41,374,49,483,-,-,-,-,43,382,58,582,-,-,-,-,-,50,437,95,614,-,-,-,-,-,91,417,106,547,-,-,-,-,-,71,371,105,426,-,-,-,-,-,57,265,104,352,-,-,-,-,-,41,248,63
"강력범죄",기타 강간·강제추행등,19,-,-,-,-,-,1,17,1,13,-,-,-,-,-,12,1,12,-,-,-,-,-,12,-,7,-,-,-,-,-,2,4,1,15,-,-,-,-,-,3,10,2,9,-,-,-,-,-,2,7,-,3,-,-,-,-,-,1,2,-,8,-,-,-,-,-,2,4,2
"강력범죄",방화,22,-,-,-,-,-,4,15,3,32,-,-,-,-,2,26,4,17,-,-,-,-,2,15,-,24,-,-,-,-,-,5,19,-,27,-,-,-,-,-,3,22,2,21,-,-,-,-,-,1,15,5,21,-,-,-,-,-,2,17,2,16,-,-,-,-,-,2,11,3
"절도범죄",소계,1774,-,-,-,-,-,57,1551,166,2291,-,-,-,-,52,2026,213,2811,1,-,-,1,69,2450,291,2898,1,-,1,-,-,58,2534,305,2916,2,1,-,1,-,104,2473,337,3158,2,1,-,1,-,66,2733,357,2756,-,-,-,-,-,58,2379,319,2342,4,-,-,4,-,32,2037,269
"폭력범죄",소계,8641,1,-,1,-,-,1035,5490,2115,9786,1,-,-,1,866,6265,2654,9711,-,-,-,-,660,6097,2954,8952,-,-,-,-,-,688,5512,2752,8549,2,1,-,1,1,685,5071,2790,8769,4,-,2,2,-,744,5196,2825,7917,3,-,1,2,-,655,4824,2435,6250,6,-,2,4,-,458,4092,1694
"폭력범죄",상해,1256,-,-,-,-,-,142,1018,96,1255,-,-,-,-,132,1035,88,1852,-,-,-,-,155,1565,132,1611,-,-,-,-,-,153,1334,124,1383,1,1,-,-,1,141,1117,123,1327,-,-,-,-,-,159,1041,127,1275,1,-,1,-,-,153,1001,120,927,-,-,-,-,-,88,754,85
"폭력범죄",폭행,3118,-,-,-,-,-,243,1393,1482,4081,-,-,-,-,222,1877,1982,4834,-,-,-,-,270,2233,2331,4678,-,-,-,-,-,281,2208,2189,4602,-,-,-,-,-,319,2053,2230,4746,1,-,1,-,-,307,2240,2198,4151,-,-,-,-,-,272,2044,1835,3435,3,-,2,1,-,213,1977,1242
"폭력범죄",체포·감금,20,-,-,-,-,-,1,13,6,17,-,-,-,-,-,15,2,23,-,-,-,-,-,17,6,32,-,-,-,-,-,-,16,16,24,-,-,-,-,-,-,12,12,42,-,-,-,-,-,-,22,20,16,-,-,-,-,-,-,11,5,19,-,-,-,-,-,1,12,6
"폭력범죄",협박,87,-,-,-,-,-,8,38,41,179,-,-,-,-,6,110,63,410,-,-,-,-,22,316,72,359,-,-,-,-,-,25,248,86,385,1,-,-,1,-,27,264,93,515,-,-,-,-,-,34,334,147,535,-,-,-,-,-,51,344,140,487,1,-,-,1,-,32,334,120
"폭력범죄",약취·유인,9,-,-,-,-,-,1,3,5,16,-,-,-,-,-,10,6,8,-,-,-,-,-,4,4,6,-,-,-,-,-,-,2,4,4,-,-,-,-,-,-,3,1,11,-,-,-,-,-,-,6,5,5,-,-,-,-,-,-,1,4,5,-,-,-,-,-,-,2,3
"폭력범죄",폭력행위등,3495,1,-,1,-,-,548,2533,413,3493,1,-,-,1,411,2648,433,1817,-,-,-,-,127,1396,294,1454,-,-,-,-,-,148,1110,196,1309,-,-,-,-,-,104,1004,201,1148,2,-,1,1,-,136,821,189,959,-,-,-,-,-,90,713,156,587,1,-,-,1,-,59,432,95
"폭력범죄",공갈,34,-,-,-,-,-,3,25,6,40,-,-,-,-,-,24,16,77,-,-,-,-,-,48,29,104,-,-,-,-,-,1,59,44,90,-,-,-,-,-,-,67,23,163,-,-,-,-,-,1,145,17,187,2,-,-,2,-,-,143,42,111,-,-,-,-,-,-,86,25
"폭력범죄",손괴,622,-,-,-,-,-,89,467,66,705,-,-,-,-,95,546,64,690,-,-,-,-,86,518,86,708,-,-,-,-,-,80,535,93,752,-,-,-,-,-,94,551,107,817,1,-,-,1,-,107,587,122,789,-,-,-,-,-,89,567,133,679,1,-,-,1,-,65,495,118
"지능범죄",소계,2888,1,1,-,-,-,22,1397,1468,3781,1,-,-,1,37,2032,1711,3767,1,1,-,-,35,1932,1799,3538,1,-,-,1,-,30,1991,1516,3846,4,-,-,4,-,28,2050,1764,4388,6,4,-,2,-,27,2432,1923,5011,6,-,1,5,-,25,2868,2112,3931,25,4,1,20,-,18,2493,1395
"지능범죄",직무유기,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"지능범죄",직권남용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",증수뢰,1,-,-,-,-,-,-,1,-,3,-,-,-,-,-,2,1,4,-,-,-,-,-,3,1,2,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,1,3,4,-,-,-,-,-,-,2,2,1,-,-,-,-,-,-,1,-
"지능범죄",통화,5,-,-,-,-,-,-,2,3,2,-,-,-,-,-,1,1,4,-,-,-,-,-,1,3,8,-,-,-,-,-,-,5,3,5,-,-,-,-,-,-,2,3,13,-,-,-,-,-,-,7,6,8,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-
"지능범죄",문서·인장,528,-,-,-,-,-,-,375,153,616,-,-,-,-,-,430,186,519,-,-,-,-,1,345,173,440,-,-,-,-,-,-,266,174,254,-,-,-,-,-,-,152,102,399,-,-,-,-,-,2,264,133,327,1,-,1,-,-,1,213,112,237,-,-,-,-,-,-,140,97
"지능범죄",유가증권인지,1,-,-,-,-,-,-,1,-,2,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,1,1,4,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"지능범죄",사기,2008,1,1,-,-,-,20,827,1160,2719,1,-,-,1,33,1309,1376,2649,1,1,-,-,30,1170,1448,2423,1,-,-,1,-,27,1229,1166,2841,4,-,-,4,-,20,1400,1417,3172,6,4,-,2,-,19,1594,1553,3890,5,-,-,5,-,22,2090,1773,3141,25,4,1,20,-,16,1958,1142
"지능범죄",횡령,306,-,-,-,-,-,2,176,128,403,-,-,-,-,4,272,127,567,-,-,-,-,4,408,155,638,-,-,-,-,-,3,480,155,706,-,-,-,-,-,8,486,212,754,-,-,-,-,-,6,561,187,714,-,-,-,-,-,2,526,186,505,-,-,-,-,-,2,382,121
"지능범죄",배임,39,-,-,-,-,-,-,15,24,35,-,-,-,-,-,17,18,24,-,-,-,-,-,5,19,23,-,-,-,-,-,-,7,16,37,-,-,-,-,-,-,9,28,42,-,-,-,-,-,-,5,37,66,-,-,-,-,-,-,35,31,47,-,-,-,-,-,-,12,35
"풍속범죄",소계,886,-,-,-,-,-,15,809,62,1103,-,-,-,-,18,992,93,823,-,-,-,-,10,754,59,763,-,-,-,-,-,19,650,94,692,-,-,-,-,-,14,590,88,737,-,-,-,-,-,18,618,101,749,-,-,-,-,-,17,592,140,520,-,-,-,-,-,15,436,69
