"죄종별(1)",죄종별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상
"죄종별(1)",죄종별(2),소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계
"계",소계,86841,108,21,42,45,83,4083,69721,12846,95639,32,9,15,8,75,3920,74514,17098,92347,13,1,4,8,110,3224,72364,16636,86443,26,7,7,12,84,3169,67442,15722,77261,78,1,36,41,43,3040,60764,13336,75022,111,8,62,41,33,2763,59509,12606,72647,183,30,94,59,10,2439,58550,11465,64699,173,42,73,58,8,2271,52311,9936
"강력범죄",소계,2951,-,-,-,-,-,183,2435,333,2944,3,2,-,1,-,190,2400,351,3076,-,-,-,-,1,184,2509,382,3173,-,-,-,-,-,230,2497,446,3220,-,-,-,-,-,250,2453,517,3175,-,-,-,-,-,283,2385,507,2539,1,-,-,1,-,223,1902,413,2304,-,-,-,-,-,190,1767,347
"강력범죄",살인기수,15,-,-,-,-,-,-,11,4,10,-,-,-,-,-,1,9,-,3,-,-,-,-,-,-,3,-,12,-,-,-,-,-,-,11,1,3,-,-,-,-,-,-,3,-,8,-,-,-,-,-,-,8,-,5,-,-,-,-,-,-,5,-,10,-,-,-,-,-,-,9,1
"강력범죄",살인미수등,9,-,-,-,-,-,1,7,1,13,-,-,-,-,-,-,13,-,9,-,-,-,-,-,-,8,1,13,-,-,-,-,-,-,12,1,14,-,-,-,-,-,4,9,1,8,-,-,-,-,-,-,8,-,14,-,-,-,-,-,1,12,1,8,-,-,-,-,-,1,7,-
"강력범죄",강도,240,-,-,-,-,-,5,231,4,224,-,-,-,-,-,3,214,7,195,-,-,-,-,-,4,183,8,143,-,-,-,-,-,4,135,4,124,-,-,-,-,-,1,119,4,211,-,-,-,-,-,1,205,5,239,1,-,-,1,-,2,230,6,144,-,-,-,-,-,1,139,4
"강력범죄",강간,896,-,-,-,-,-,70,664,162,890,1,1,-,-,-,71,641,177,885,-,-,-,-,1,79,629,176,917,-,-,-,-,-,73,635,209,921,-,-,-,-,-,73,618,230,869,-,-,-,-,-,97,563,209,699,-,-,-,-,-,70,444,185,678,-,-,-,-,-,74,456,148
"강력범죄",유사강간,83,-,-,-,-,-,5,73,5,116,1,-,-,1,-,6,90,19,121,-,-,-,-,-,5,98,18,164,-,-,-,-,-,17,124,23,178,-,-,-,-,-,18,135,25,187,-,-,-,-,-,22,141,24,135,-,-,-,-,-,11,105,19,160,-,-,-,-,-,14,110,36
"강력범죄",강제추행,1340,-,-,-,-,-,83,1127,130,1453,1,1,-,-,-,98,1220,134,1616,-,-,-,-,-,90,1364,162,1724,-,-,-,-,-,132,1399,193,1771,-,-,-,-,-,143,1387,241,1670,-,-,-,-,-,152,1277,241,1294,-,-,-,-,-,131,979,184,1182,-,-,-,-,-,96,934,152
"강력범죄",기타 강간·강제추행등,219,-,-,-,-,-,15,179,25,128,-,-,-,-,-,7,109,12,102,-,-,-,-,-,1,96,5,82,-,-,-,-,-,4,65,13,85,-,-,-,-,-,8,65,12,111,-,-,-,-,-,11,81,19,68,-,-,-,-,-,7,51,10,43,-,-,-,-,-,3,35,5
"강력범죄",방화,149,-,-,-,-,-,4,143,2,110,-,-,-,-,-,4,104,2,145,-,-,-,-,-,5,128,12,118,-,-,-,-,-,-,116,2,124,-,-,-,-,-,3,117,4,111,-,-,-,-,-,-,102,9,85,-,-,-,-,-,1,76,8,79,-,-,-,-,-,1,77,1
"절도범죄",소계,21980,6,5,-,1,4,235,21188,547,23477,1,1,-,-,1,188,22572,715,21018,-,-,-,-,-,154,20101,763,19022,6,2,-,4,-,147,18151,718,15920,-,-,-,-,-,130,15187,603,15912,3,1,2,-,-,120,15192,597,15907,2,-,1,1,-,99,15219,587,12539,-,-,-,-,-,69,12001,469
"폭력범죄",소계,23983,3,3,-,-,12,1530,17465,4973,25234,4,4,-,-,1,1487,17415,6327,25716,-,-,-,-,4,1076,17976,6660,26194,2,1,1,-,3,1136,18139,6914,24421,2,-,2,-,-,1132,17506,5781,22218,3,1,-,2,2,1042,16079,5092,18058,2,-,-,2,-,870,13199,3987,16900,4,3,1,-,-,839,12753,3304
"폭력범죄",상해,3464,-,-,-,-,-,279,2988,197,3688,1,1,-,-,-,309,3144,234,3931,-,-,-,-,-,224,3508,199,3827,-,-,-,-,1,228,3354,244,3391,-,-,-,-,-,203,2962,226,2920,1,1,-,-,2,205,2515,197,2162,-,-,-,-,-,165,1859,138,2050,-,-,-,-,-,144,1796,110
"폭력범죄",폭행,7775,1,1,-,-,1,422,3720,3631,9781,-,-,-,-,-,389,4608,4784,11516,-,-,-,-,2,388,5736,5390,11829,-,-,-,-,-,445,5814,5570,11128,-,-,-,-,-,457,6114,4557,10160,-,-,-,-,-,432,5745,3983,8200,1,-,-,1,-,385,4744,3070,7237,3,3,-,-,-,318,4587,2329
"폭력범죄",체포·감금,25,-,-,-,-,-,1,18,6,41,-,-,-,-,-,-,31,10,97,-,-,-,-,-,-,80,17,102,-,-,-,-,-,1,78,23,90,-,-,-,-,-,1,75,14,118,-,-,-,-,-,3,96,19,116,-,-,-,-,-,2,89,25,96,1,-,1,-,-,2,57,36
"폭력범죄",협박,181,-,-,-,-,-,4,119,58,261,-,-,-,-,-,4,185,72,520,-,-,-,-,-,10,367,143,562,-,-,-,-,-,8,397,157,686,-,-,-,-,-,12,486,188,777,-,-,-,-,-,10,571,196,739,-,-,-,-,-,14,556,169,799,-,-,-,-,-,16,586,197
"폭력범죄",약취·유인,10,-,-,-,-,-,-,6,4,13,-,-,-,-,-,-,9,4,9,-,-,-,-,-,3,3,3,19,-,-,-,-,-,-,15,4,11,-,-,-,-,-,-,9,2,13,-,-,-,-,-,-,9,4,23,-,-,-,-,-,-,19,4,12,-,-,-,-,-,2,8,2
"폭력범죄",폭력행위등,10850,1,1,-,-,11,692,9210,936,9575,2,2,-,-,1,672,7884,1016,7471,-,-,-,-,2,329,6500,640,7575,2,1,1,-,-,337,6583,653,6827,1,-,1,-,-,324,5969,533,5949,2,-,-,2,-,263,5251,433,4650,-,-,-,-,-,191,4141,318,4563,-,-,-,-,-,248,3984,331
"폭력범죄",공갈,582,1,1,-,-,-,4,550,27,502,-,-,-,-,-,-,461,41,685,-,-,-,-,-,3,622,60,877,-,-,-,-,2,-,795,80,877,-,-,-,-,-,4,811,62,828,-,-,-,-,-,-,770,58,735,1,-,-,1,-,2,662,70,663,-,-,-,-,-,3,593,67
"폭력범죄",손괴,1096,-,-,-,-,-,128,854,114,1373,1,1,-,-,-,113,1093,166,1487,-,-,-,-,-,119,1160,208,1403,-,-,-,-,-,117,1103,183,1411,1,-,1,-,-,131,1080,199,1453,-,-,-,-,-,129,1122,202,1433,-,-,-,-,-,111,1129,193,1480,-,-,-,-,-,106,1142,232
