"시점",특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범,특별법범
"시점",주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범,주요 특별법범
"시점",마약류관리에관한법률(대마),마약류관리에관한법률(대마),마약류관리에관한법률(대마),마약류관리에관한법률(대마),마약류관리에관한법률(대마),마약류관리에관한법률(대마),마약류관리에관한법률(대마),마약류관리에관한법률(대마),마약류관리에관한법률(마약),마약류관리에관한법률(마약),마약류관리에관한법률(마약),마약류관리에관한법률(마약),마약류관리에관한법률(마약),마약류관리에관한법률(마약),마약류관리에관한법률(마약),마약류관리에관한법률(마약),마약류관리에관한법률(향정),마약류관리에관한법률(향정),마약류관리에관한법률(향정),마약류관리에관한법률(향정),마약류관리에관한법률(향정),마약류관리에관한법률(향정),마약류관리에관한법률(향정),마약류관리에관한법률(향정)
"시점",마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상
"시점",소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계
"2014",491,27,452,12,-,1,165,252,89,70,7,12,-,-,493,40,2809,363,30,2416,4,1,1061,1476
"2015",193,31,158,4,-,-,500,240,13,8,-,5,-,-,956,78,953,241,6,706,-,1,4005,1937
"2016",91,7,80,4,-,1,746,218,19,14,-,5,-,-,1157,129,706,114,6,586,-,1,4890,2031
"2017",140,9,122,9,-,1,825,349,30,24,-,6,-,-,1234,82,832,135,14,683,-,-,4895,1973
"2018",566,17,520,29,0,1,267,355,133,100,4,29,0,1,1111,104,3291,190,29,3072,0,2,1675,1497
"2019",944,16,896,32,1,1,450,567,170,129,6,35,-,-,1238,86,4126,237,77,3812,1,4,2067,1591
"2020",1148,16,1088,44,-,-,624,568,249,186,7,56,-,3,1634,114,4122,255,60,3807,-,3,2935,1873
"2021",1070,13,1003,54,-,-,718,476,229,190,4,35,-,2,1098,125,3808,244,79,3485,-,2,2355,1385
