瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),刘扁拘(hPa),捞浇痢柯档(∑C),泅瘤扁拘(hPa),秦搁扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),瘤搁柯档(∑C)
159,何魂,2018-01-01 01:00,.5,,1.3,360,33,2.1,-13.9,1015.5,1024.3,,,,,2000,,-4.9
159,何魂,2018-01-01 02:00,.1,,1.5,20,34,2.1,-13.9,1015.7,1024.5,,,,,2000,,-5.3
159,何魂,2018-01-01 03:00,0,,2.1,320,37,2.3,-12.9,1015.9,1024.7,,,,0,2000,,-5
159,何魂,2018-01-01 04:00,-.1,,2.3,340,42,2.5,-11.5,1016,1024.9,,,,0,2000,,-4.4
159,何魂,2018-01-01 05:00,-.1,,2.8,50,43,2.6,-11.2,1016,1024.9,,,,0,2000,,-4.1
159,何魂,2018-01-01 06:00,-.5,,2.1,20,45,2.6,-11,1016.5,1025.4,,,,0,2000,,-4.6
159,何魂,2018-01-01 07:00,-.8,,2.5,340,45,2.6,-11.2,1017.1,1026,,,,0,2000,,-5.3
159,何魂,2018-01-01 08:00,-.5,,1.2,360,43,2.5,-11.5,1017.4,1026.3,.3,.03,,0,2000,,-4.5
159,何魂,2018-01-01 09:00,1.7,,2.1,20,39,2.7,-10.8,1018.1,1026.9,1,.46,,0,1953,,4.5
159,何魂,2018-01-01 10:00,2.7,,3,340,35,2.6,-11.2,1018.4,1027.2,1,1.04,,0,1836,,14.8
159,何魂,2018-01-01 11:00,4.5,,2.9,50,29,2.4,-12,1018,1026.7,1,1.53,,0,2000,,18.7
159,何魂,2018-01-01 12:00,5.5,,2.9,340,24,2.2,-13.5,1017.5,1026.2,1,1.86,,0,1996,,22.6
159,何魂,2018-01-01 13:00,5.6,,7.6,360,19,1.7,-16.2,1016.3,1025,1,1.98,,0,1823,,18.5
159,何魂,2018-01-01 14:00,6.6,,4,320,20,1.9,-14.8,1016,1024.6,1,1.88,,0,2000,,13
159,何魂,2018-01-01 15:00,7.1,,2.4,360,19,1.9,-15,1016,1024.6,1,1.51,,0,2000,,9.5
159,何魂,2018-01-01 16:00,6.3,,3.5,200,20,1.9,-15,1016.4,1025,1,.99,,0,2000,,6.9
159,何魂,2018-01-01 17:00,5.1,,2.4,90,23,2,-14.3,1016.9,1025.6,1,.37,,0,2000,,3.4
159,何魂,2018-01-01 18:00,3.8,,2,360,26,2.1,-13.9,1017.8,1026.5,0,.01,,0,2000,,-.2
159,何魂,2018-01-01 19:00,2.8,,2.4,360,29,2.2,-13.5,1018.1,1026.9,,,,,2000,,-2
159,何魂,2018-01-01 20:00,2.8,,3.3,20,29,2.2,-13.5,1018.4,1027.2,,,,,2000,,-1.8
159,何魂,2018-01-01 21:00,2.2,,2.2,340,31,2.2,-13.2,1018.5,1027.3,,,,0,2000,,-3
159,何魂,2018-01-01 22:00,1.6,,2.7,360,34,2.3,-12.6,1018.7,1027.5,,,,,2000,,-2.9
159,何魂,2018-01-01 23:00,1.4,,4.3,360,34,2.3,-12.7,1018.9,1027.7,,,,,2000,,-3.4
159,何魂,2018-01-02 00:00,1.6,,2.3,340,35,2.4,-12.2,1019.1,1027.9,,,,0,2000,,-2.8
159,何魂,2018-01-02 01:00,1.2,,3.3,360,37,2.5,-11.9,1018.9,1027.7,,,,,2000,,-2.9
159,何魂,2018-01-02 02:00,.9,,2.3,360,39,2.5,-11.5,1019.4,1028.2,,,,,1964,,-3.6
159,何魂,2018-01-02 03:00,.7,,1.5,360,38,2.4,-12,1019.3,1028.1,,,,0,1996,,-4.1
159,何魂,2018-01-02 04:00,.3,,2.7,360,41,2.6,-11.4,1019,1027.9,,,,0,1891,,-3.8
159,何魂,2018-01-02 05:00,.4,,2.9,290,41,2.6,-11.3,1019.1,1028,,,,0,1966,,-3.9
159,何魂,2018-01-02 06:00,.1,,1.7,360,42,2.6,-11.3,1019.5,1028.4,,,,0,1955,,-4.4
159,何魂,2018-01-02 07:00,-.2,,3.2,340,43,2.6,-11.2,1019.8,1028.7,,,,0,1958,,-4.6
159,何魂,2018-01-02 08:00,.1,,2.9,340,41,2.5,-11.6,1020,1028.9,0,.02,,0,1992,,-3.4
159,何魂,2018-01-02 09:00,1.8,,1.4,340,38,2.6,-11,1020.4,1029.2,1,.37,,0,1796,,6.2
159,何魂,2018-01-02 10:00,4.2,,1.6,200,34,2.8,-10.3,1020.3,1029,1,.9,,0,1713,,17.3
159,何魂,2018-01-02 11:00,6.3,,1.1,50,31,3,-9.6,1019.6,1028.3,1,1.39,,0,1678,,23.2
159,何魂,2018-01-02 12:00,7.2,,2,340,28,2.8,-10.1,1018.9,1027.5,1,1.7,,0,1730,,25.8
159,何魂,2018-01-02 13:00,8.2,,2,360,27,2.9,-9.7,1018.2,1026.8,1,1.72,,0,1697,,23.4
159,何魂,2018-01-02 14:00,9.2,,2.4,270,28,3.2,-8.4,1017.4,1025.9,1,1.57,,0,1172,,17.5
159,何魂,2018-01-02 15:00,9,,2.5,340,32,3.7,-6.8,1016.8,1025.3,1,1.21,,0,1094,,13.1
159,何魂,2018-01-02 16:00,8,,3.9,250,34,3.6,-6.9,1016.4,1025,1,.74,,0,1133,,9.8
159,何魂,2018-01-02 17:00,6.8,,3.8,270,38,3.8,-6.5,1016.7,1025.3,.4,.23,,3,1210,,4.7
159,何魂,2018-01-02 18:00,5.8,,2.6,270,37,3.4,-7.7,1017,1025.7,0,.02,,4,1541,,1.5
159,何魂,2018-01-02 19:00,5.6,,1.9,290,40,3.6,-6.9,1017.7,1026.4,,,,,1240,,1.4
159,何魂,2018-01-02 20:00,5.4,,3.8,270,45,4,-5.6,1017.3,1026,,,,,977,,1.2
159,何魂,2018-01-02 21:00,5.1,,2.4,290,49,4.3,-4.7,1016.9,1025.6,,,,8,847,,1.8
159,何魂,2018-01-02 22:00,4.5,,.9,360,52,4.4,-4.5,1016.7,1025.4,,,,,868,,.2
159,何魂,2018-01-02 23:00,3.8,,.8,20,56,4.5,-4.1,1017.3,1026,,,,,767,,-.4
159,何魂,2018-01-03 00:00,3.2,,1.5,20,53,4.1,-5.4,1017.3,1026,,,,3,644,,.1
159,何魂,2018-01-03 01:00,2.4,,1.5,340,47,3.4,-7.7,1017.4,1026.2,,,,,777,,-2.3
159,何魂,2018-01-03 02:00,2.2,,2.6,270,42,3,-9.4,1018,1026.8,,,,,978,,-2.6
159,何魂,2018-01-03 03:00,2.3,,2,250,31,2.2,-13.1,1018.9,1027.7,,,,8,1666,,-.2
159,何魂,2018-01-03 04:00,1.8,,2,340,23,1.6,-17.1,1018.5,1027.3,,,,8,2000,,-.1
159,何魂,2018-01-03 05:00,1.1,,1.5,320,23,1.5,-17.7,1018.6,1027.4,,,,7,2000,,-1.9
159,何魂,2018-01-03 06:00,.7,,1.3,340,23,1.5,-18.1,1019.1,1027.9,,,,8,2000,,-1.7
159,何魂,2018-01-03 07:00,.5,,1.1,20,23,1.5,-18.2,1019.7,1028.6,,,,7,2000,,-2.1
159,何魂,2018-01-03 08:00,.2,,4.9,360,24,1.5,-18,1019.1,1028,0,.01,,0,2000,,-2.7
159,何魂,2018-01-03 09:00,2.4,,3.1,70,24,1.7,-16.1,1019.8,1028.6,1,.44,,0,2000,,11
159,何魂,2018-01-03 10:00,3.3,,3.3,20,23,1.8,-15.9,1020.1,1028.9,1,1.06,,0,2000,,18.8
159,何魂,2018-01-03 11:00,5,,3.6,20,21,1.8,-15.5,1019.7,1028.4,1,1.57,,0,1939,,22.3
159,何魂,2018-01-03 12:00,5.4,,2.5,360,22,2,-14.6,1018.6,1027.3,1,1.88,,0,1992,,22.7
159,何魂,2018-01-03 13:00,6.1,,4.4,270,21,2,-14.6,1017.7,1026.4,1,2,,4,1978,,22
159,何魂,2018-01-03 14:00,6.5,,4.9,290,19,1.8,-15.5,1017.6,1026.2,1,1.76,,5,2000,,16.3
159,何魂,2018-01-03 15:00,6.2,,5.4,290,20,1.9,-15.1,1017.3,1025.9,1,1.45,,4,2000,,11.6
159,何魂,2018-01-03 16:00,5.5,,2.9,320,19,1.7,-16.3,1017.6,1026.3,1,.81,,3,2000,,6.3
159,何魂,2018-01-03 17:00,4.5,,2.3,360,18,1.5,-17.8,1017.6,1026.3,1,.4,,3,2000,,2.8
159,何魂,2018-01-03 18:00,2.9,,2.2,320,20,1.5,-17.9,1018,1026.8,0,.01,,0,2000,,-1.3
159,何魂,2018-01-03 19:00,2,,2.3,340,22,1.6,-17.5,1018.3,1027.1,,,,,2000,,-2.7
159,何魂,2018-01-03 20:00,1.4,,2.1,320,23,1.6,-17.5,1018,1026.8,,,,,2000,,-3.8
159,何魂,2018-01-03 21:00,1.2,,7.1,290,27,1.8,-15.7,1018,1026.8,,,,2,2000,,-1.9
159,何魂,2018-01-03 22:00,.7,,3.6,20,27,1.7,-16.2,1018.2,1027,,,,,2000,,-1.5
159,何魂,2018-01-03 23:00,.2,,1.6,20,28,1.7,-16.2,1018.4,1027.3,,,,,2000,,-2.2
