瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),刘扁拘(hPa),捞浇痢柯档(∑C),泅瘤扁拘(hPa),秦搁扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),瘤搁柯档(∑C)
159,何魂,2019-01-01 01:00,1,,4.8,290,25,1.6,-16.8,1022.8,1031.7,,,,0,2000,,-1.2
159,何魂,2019-01-01 02:00,-.1,,4.9,320,26,1.6,-17.3,1022.3,1031.2,,,,0,2000,,-2.3
159,何魂,2019-01-01 03:00,-.9,,3.7,340,28,1.6,-17.1,1022.5,1031.4,,,,0,2000,,-2.2
159,何魂,2019-01-01 04:00,-1.2,,4.7,340,31,1.7,-16.2,1022.2,1031.1,,,,0,2000,,-2.4
159,何魂,2019-01-01 05:00,-1.7,,4.1,270,38,2.1,-14.1,1021.1,1030,,,,0,2000,,-2.8
159,何魂,2019-01-01 06:00,-1.7,,2.8,320,44,2.4,-12.3,1022,1030.9,,,,0,2000,,-2.9
159,何魂,2019-01-01 07:00,-1.8,,3.6,360,49,2.6,-11.1,1021.7,1030.6,,,,3,2000,,-3
159,何魂,2019-01-01 08:00,-1.3,,2.9,180,49,2.7,-10.6,1022.5,1031.4,.3,.03,,6,2000,,-2.6
159,何魂,2019-01-01 09:00,.5,,3.5,90,40,2.5,-11.5,1021.9,1030.8,1,.47,,1,2000,,-.2
159,何魂,2019-01-01 10:00,.5,,5.7,320,43,2.7,-10.6,1022.2,1031.1,1,1.08,,1,1995,,1.4
159,何魂,2019-01-01 11:00,2.2,,4.3,290,38,2.7,-10.6,1022.1,1030.9,1,1.64,,0,1981,,8.5
159,何魂,2019-01-01 12:00,2.7,,5.1,290,39,2.9,-9.9,1021.2,1030,1,1.97,,1,1995,,13.5
159,何魂,2019-01-01 13:00,4.1,,3,270,36,3,-9.6,1019.9,1028.6,1,2.08,,1,2000,,17.1
159,何魂,2019-01-01 14:00,4.1,,5.8,290,38,3.1,-8.9,1019.4,1028.1,1,2.01,,0,1948,,15.8
159,何魂,2019-01-01 15:00,4.8,,4.8,290,38,3.3,-8.3,1019.7,1028.4,1,1.62,,0,2000,,12.9
159,何魂,2019-01-01 16:00,5.3,,2.8,320,37,3.3,-8.2,1020,1028.7,1,1.06,,0,2000,,5.3
159,何魂,2019-01-01 17:00,3.8,,2.6,320,37,3,-9.5,1020.2,1028.9,.9,.37,,1,2000,,2.1
159,何魂,2019-01-01 18:00,2.8,,4.5,290,41,3.1,-9.1,1020.8,1029.6,0,.01,,1,2000,,.5
159,何魂,2019-01-01 19:00,2.1,,4.9,290,44,3.1,-8.9,1021.3,1030.1,,,,0,2000,,0
159,何魂,2019-01-01 20:00,1.5,,4.4,290,49,3.3,-8,1021.8,1030.6,,,,0,2000,,-.8
159,何魂,2019-01-01 21:00,.7,,3,290,53,3.4,-7.8,1022,1030.9,,,,0,2000,,-1.5
159,何魂,2019-01-01 22:00,.2,,3.4,290,51,3.2,-8.7,1021.7,1030.6,,,,0,2000,,-1.9
159,何魂,2019-01-01 23:00,-.2,,3.3,290,51,3.1,-9.1,1022.5,1031.4,,,,0,2000,,-2.4
159,何魂,2019-01-02 00:00,-.8,,2.6,270,52,3,-9.4,1023,1031.9,,,,0,2000,,-2.2
159,何魂,2019-01-02 01:00,-.9,,3.5,290,50,2.9,-10,1023.2,1032.1,,,,0,2000,,-2.7
159,何魂,2019-01-02 02:00,-1.3,,3,360,49,2.7,-10.6,1022.3,1031.2,,,,0,2000,,-2.7
159,何魂,2019-01-02 03:00,-1.7,,4.5,340,49,2.6,-11,1021.6,1030.5,,,,0,2000,,-2.9
159,何魂,2019-01-02 04:00,-1.9,,5.3,360,45,2.4,-12.2,1021.4,1030.3,,,,0,2000,,-2.9
159,何魂,2019-01-02 05:00,-2,,4.5,360,45,2.4,-12.3,1021.8,1030.8,,,,0,2000,,-3.2
159,何魂,2019-01-02 06:00,-2.2,,3.7,20,43,2.2,-13.1,1021.9,1030.9,,,,0,2000,,-3.1
159,何魂,2019-01-02 07:00,-2.3,,3.6,360,40,2.1,-14.1,1023.1,1032.1,,,,2,2000,,-3.7
159,何魂,2019-01-02 08:00,-2,,2.6,110,41,2.2,-13.5,1023.8,1032.8,.3,.03,,0,2000,,-3.2
159,何魂,2019-01-02 09:00,-.4,,2.1,90,41,2.4,-12,1024.4,1033.3,1,.49,,0,1946,,-.3
159,何魂,2019-01-02 10:00,1.2,,2.2,200,39,2.6,-11.2,1024.5,1033.4,1,1.13,,0,2000,,2
159,何魂,2019-01-02 11:00,2.7,,1.7,290,35,2.6,-11.2,1023.6,1032.4,1,1.65,,0,2000,,9
159,何魂,2019-01-02 12:00,2.7,,3.7,320,34,2.5,-11.6,1022.4,1031.2,1,2,,0,2000,,13.7
159,何魂,2019-01-02 13:00,4.2,,3.9,320,30,2.5,-11.8,1021.5,1030.2,1,2.12,,0,1969,,17.8
159,何魂,2019-01-02 14:00,5.5,,3.7,270,28,2.5,-11.6,1020.9,1029.6,1,2.01,,0,2000,,18.6
159,何魂,2019-01-02 15:00,5.9,,4.1,290,27,2.5,-11.7,1021,1029.7,1,1.67,,0,2000,,14.7
159,何魂,2019-01-02 16:00,6.1,,3.1,270,26,2.4,-12,1020.9,1029.6,1,1.1,,0,2000,,5.7
159,何魂,2019-01-02 17:00,4.9,,1.8,340,27,2.3,-12.5,1021.3,1030,1,.44,,0,2000,,2
159,何魂,2019-01-02 18:00,3.2,,1.7,360,27,2.1,-14,1022,1030.8,0,0,,0,2000,,-.6
159,何魂,2019-01-02 19:00,2.8,,2.2,320,26,1.9,-14.8,1022.2,1031,,,,0,2000,,-1.3
159,何魂,2019-01-02 20:00,2.3,,2.2,340,27,1.9,-14.8,1022.5,1031.3,,,,1,2000,,-2.2
159,何魂,2019-01-02 21:00,1.6,,3.7,320,28,1.9,-14.9,1022.2,1031,,,,0,2000,,-1.9
159,何魂,2019-01-02 22:00,1.2,,3.9,270,29,1.9,-14.9,1021.8,1030.6,,,,0,2000,,-2.1
159,何魂,2019-01-02 23:00,.8,,2.4,290,28,1.8,-15.6,1022.1,1031,,,,0,2000,,-2.3
159,何魂,2019-01-03 00:00,.6,,3.1,20,28,1.8,-15.8,1021.7,1030.6,,,,0,2000,,-2.5
159,何魂,2019-01-03 01:00,.4,,3.9,250,31,1.9,-14.8,1021.9,1030.8,,,,0,2000,,-2.7
159,何魂,2019-01-03 02:00,.8,,4.9,180,29,1.9,-15.2,1021.7,1030.6,,,,0,2000,,-2.1
159,何魂,2019-01-03 03:00,-.5,,2.6,320,33,1.9,-14.8,1022.5,1031.4,,,,0,2000,,-3.2
159,何魂,2019-01-03 04:00,-.9,,2.6,20,33,1.9,-15.1,1022.2,1031.1,,,,0,2000,,-3.1
159,何魂,2019-01-03 05:00,-1.1,,3.4,160,31,1.7,-16.1,1021.7,1030.6,,,,0,2000,,-3.2
159,何魂,2019-01-03 06:00,-1.3,,3.2,160,28,1.6,-17.5,1022.2,1031.1,,,,0,2000,,-3.4
159,何魂,2019-01-03 07:00,-1.6,,3.6,360,29,1.6,-17.3,1023,1032,,,,0,2000,,-3.5
159,何魂,2019-01-03 08:00,-.9,,2,20,27,1.5,-17.6,1023.5,1032.4,.4,.03,,0,2000,,-3.3
159,何魂,2019-01-03 09:00,.3,,2.2,320,26,1.6,-17,1024.4,1033.3,1,.49,,0,2000,,-.1
159,何魂,2019-01-03 10:00,1.2,,5.4,340,27,1.8,-15.7,1024.8,1033.7,1,1.17,,0,1944,,1.7
159,何魂,2019-01-03 11:00,3,,4.4,320,23,1.7,-16.1,1025,1033.8,1,1.69,,0,2000,,8.9
159,何魂,2019-01-03 12:00,4.9,,3.5,320,22,1.9,-15,1024.2,1033,1,2.03,,0,2000,,16.1
159,何魂,2019-01-03 13:00,5.3,,5.1,320,20,1.8,-15.9,1023.5,1032.2,1,2.14,,0,2000,,17.8
159,何魂,2019-01-03 14:00,6.5,,4.6,290,18,1.7,-16.1,1023.1,1031.8,1,2.04,,0,2000,,18.4
159,何魂,2019-01-03 15:00,7.9,,3.7,290,17,1.8,-15.7,1023,1031.6,1,1.66,,0,2000,,16.3
159,何魂,2019-01-03 16:00,8,,3.5,320,15,1.6,-17.1,1023.2,1031.8,1,1.12,,0,2000,,6.4
159,何魂,2019-01-03 17:00,6.3,,4.5,290,16,1.5,-17.7,1023.4,1032.1,1,.46,,0,2000,,3
159,何魂,2019-01-03 18:00,5,,4.5,340,18,1.6,-17.4,1023.9,1032.6,0,0,,0,2000,,1.5
159,何魂,2019-01-03 19:00,4.7,,4.1,340,18,1.5,-17.6,1023.8,1032.5,,,,0,2000,,.7
159,何魂,2019-01-03 20:00,4.5,,2.3,340,16,1.3,-19.2,1024,1032.7,,,,0,2000,,-1.1
159,何魂,2019-01-03 21:00,4.5,,2.8,360,15,1.3,-19.9,1024.2,1032.9,,,,0,2000,,-.4
159,何魂,2019-01-03 22:00,3.9,,3.9,320,16,1.3,-19.7,1024,1032.8,,,,0,2000,,-1.1
159,何魂,2019-01-03 23:00,3.7,,3.1,340,16,1.3,-19.8,1023.4,1032.2,,,,0,2000,,-.8
159,何魂,2019-01-04 00:00,3.4,,4.8,340,17,1.3,-19.4,1023.9,1032.7,,,,0,2000,,-1.3
159,何魂,2019-01-04 01:00,3.2,,4.5,340,17,1.3,-19.5,1024.1,1032.9,,,,0,2000,,-1
159,何魂,2019-01-04 02:00,3.2,,3,340,16,1.2,-20.2,1023.7,1032.5,,,,0,2000,,-1.3
159,何魂,2019-01-04 03:00,2.4,,3.6,340,18,1.3,-19.5,1023.6,1032.4,,,,0,2000,,-1.4
159,何魂,2019-01-04 04:00,2.3,,1.9,360,19,1.4,-19,1022.6,1031.4,,,,0,2000,,-1.7
159,何魂,2019-01-04 05:00,2.7,,2.8,340,17,1.3,-19.9,1022.2,1031,,,,0,2000,,-1.9
159,何魂,2019-01-04 06:00,1.9,,4.8,340,18,1.3,-19.9,1022.7,1031.5,,,,0,2000,,-1.5
159,何魂,2019-01-04 07:00,1.8,,5.7,340,18,1.3,-20,1022.3,1031.1,,,,0,2000,,-1.1
159,何魂,2019-01-04 08:00,2,,.9,200,21,1.5,-18,1021.7,1030.5,.3,.02,,0,2000,,-2.3
159,何魂,2019-01-04 09:00,4.9,,1.2,270,17,1.5,-18.1,1022.3,1031,1,.48,,0,2000,,.4
159,何魂,2019-01-04 10:00,5.3,,2.7,360,17,1.5,-17.8,1022.4,1031.1,1,1.13,,4,2000,,5.7
159,何魂,2019-01-04 11:00,6.6,,2.7,320,16,1.6,-17.5,1021.7,1030.4,1,1.47,,5,2000,,11.9
159,何魂,2019-01-04 12:00,8.2,,2.7,270,16,1.7,-16.2,1021.1,1029.7,1,1.74,,5,2000,,14.4
159,何魂,2019-01-04 13:00,6.3,,5.8,270,20,1.9,-15,1019.7,1028.4,.1,.83,,10,2000,,9.8
159,何魂,2019-01-04 14:00,6.9,,4.2,270,21,2.1,-13.9,1018.8,1027.4,0,.83,,10,2000,,11.4
159,何魂,2019-01-04 15:00,6.8,,4.9,250,25,2.5,-11.9,1018.3,1026.9,.4,.73,,9,2000,,8.8
159,何魂,2019-01-04 16:00,6.8,,2.4,250,23,2.3,-12.9,1018.1,1026.7,0,.32,,10,2000,,7.3
159,何魂,2019-01-04 17:00,6.4,,1.7,270,24,2.3,-12.7,1018.2,1026.8,0,.14,,9,2000,,5.3
159,何魂,2019-01-04 18:00,5.9,,2.3,290,32,3,-9.5,1018.1,1026.8,0,0,,9,2000,,3.8
159,何魂,2019-01-04 19:00,6,,3.1,290,30,2.8,-10.3,1017.9,1026.6,,,,10,2000,,4.2
159,何魂,2019-01-04 20:00,5.8,,3.1,340,25,2.3,-12.7,1017.4,1026.1,,,,8,2000,,3.8
159,何魂,2019-01-04 21:00,5.7,,1.1,360,23,2.1,-13.8,1017.1,1025.8,,,,10,2000,,3.7
159,何魂,2019-01-04 22:00,5.3,,2,340,23,2,-14.2,1017.4,1026.1,,,,9,2000,,3.6
159,何魂,2019-01-04 23:00,4.9,,1.8,320,25,2.2,-13.5,1016.8,1025.5,,,,10,2000,,3.3
159,何魂,2019-01-05 00:00,4.5,,2.3,320,29,2.4,-12,1016.1,1024.8,,,,10,2000,,3
159,何魂,2019-01-05 01:00,4.6,,2.6,140,32,2.7,-10.7,1016.1,1024.8,,,,7,2000,,3.2
159,何魂,2019-01-05 02:00,4.2,,2.1,110,38,3.1,-8.8,1015.5,1024.2,,,,9,1952,,3.2
159,何魂,2019-01-05 03:00,4,,4.3,360,42,3.4,-7.7,1015.4,1024.1,,,,10,1583,,3.3
159,何魂,2019-01-05 04:00,3.7,,3.6,20,47,3.8,-6.5,1015.1,1023.8,,,,8,1421,,2
159,何魂,2019-01-05 05:00,3.5,,3.6,360,49,3.8,-6.2,1014.5,1023.2,,,,10,1094,,2.9
159,何魂,2019-01-05 06:00,3.4,,3.3,20,52,4.1,-5.5,1014.5,1023.2,,,,10,638,,1.9
159,何魂,2019-01-05 07:00,3.6,,4.8,140,52,4.1,-5.3,1014.4,1023.1,,,,10,440,,2.7
