斥,岿,老,矫埃,瘤开,惯傈樊,碍荐樊,浅加,浅氢,嚼档,老炼矫埃,老荤樊,傈款樊,矫沥
2017,1,1,1,何魂,0.0,0.0,3.6,360.0,67.0,0.0,0.0,0.0,1438.0
2017,1,1,2,何魂,0.0,0.0,4.0,360.0,67.0,0.0,0.0,0.0,1572.0
2017,1,1,3,何魂,0.0,0.0,1.5,360.0,69.0,0.0,0.0,0.0,1407.0
2017,1,1,4,何魂,0.0,0.0,0.4,0.0,67.0,0.0,0.0,0.0,1392.0
2017,1,1,5,何魂,0.0,0.0,3.3,320.0,68.0,0.0,0.0,0.0,1335.0
2017,1,1,6,何魂,0.0,0.0,1.5,290.0,67.0,0.0,0.0,0.0,1352.0
2017,1,1,7,何魂,0.0,0.0,0.8,320.0,66.0,0.0,0.0,2.0,1295.0
2017,1,1,8,何魂,0.19,0.0,1.5,360.0,67.0,0.2,0.04,3.0,1209.0
2017,1,1,9,何魂,4.07,0.0,3.2,320.0,59.0,1.0,0.47,4.0,1404.0
2017,1,1,10,何魂,12.33,0.0,2.7,290.0,54.0,1.0,0.93,7.0,1581.0
2017,1,1,11,何魂,17.14,0.0,2.9,340.0,53.0,1.0,1.29,5.0,1407.0
2017,1,1,12,何魂,25.51,0.0,4.5,340.0,51.0,1.0,1.81,5.0,1546.0
2017,1,1,13,何魂,27.16,0.0,1.9,320.0,43.0,1.0,1.8,3.0,1492.0
2017,1,1,14,何魂,25.41,0.0,1.9,320.0,38.0,1.0,1.72,1.0,1741.0
2017,1,1,15,何魂,20.87,0.0,3.8,250.0,47.0,1.0,1.36,0.0,1549.0
2017,1,1,16,何魂,12.81,0.0,3.9,250.0,46.0,1.0,0.87,0.0,1605.0
2017,1,1,17,何魂,3.24,0.0,3.0,250.0,55.0,1.0,0.33,0.0,1517.0
2017,1,1,18,何魂,0.1,0.0,2.6,270.0,62.0,0.0,0.01,0.0,1458.0
2017,1,1,19,何魂,0.0,0.0,0.8,290.0,57.0,0.0,0.0,0.0,1558.0
2017,1,1,20,何魂,0.0,0.0,3.3,340.0,51.0,0.0,0.0,0.0,1478.0
2017,1,1,21,何魂,0.0,0.0,1.9,360.0,53.0,0.0,0.0,1.0,1486.0
2017,1,1,22,何魂,0.0,0.0,1.6,340.0,55.0,0.0,0.0,0.0,1458.0
2017,1,1,23,何魂,0.0,0.0,2.9,340.0,52.0,0.0,0.0,0.0,1469.0
2017,1,2,0,何魂,0.0,0.0,2.4,320.0,56.0,0.0,0.0,5.0,1366.0
2017,1,2,1,何魂,0.0,0.0,1.6,270.0,61.0,0.0,0.0,0.0,1265.0
2017,1,2,2,何魂,0.0,0.0,3.4,270.0,63.0,0.0,0.0,0.0,1213.0
2017,1,2,3,何魂,0.0,0.0,3.3,270.0,59.0,0.0,0.0,8.0,1167.0
2017,1,2,4,何魂,0.0,0.0,5.1,250.0,63.0,0.0,0.0,8.0,1108.0
