지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),시정(10m),지면온도(°C)
288,밀양,2021-01-01 00:00,-4.2,,0,0,77,,,,8,2000,-3.6
288,밀양,2021-01-01 01:00,-3.1,,1,50,64,,,,0,2000,-4.1
288,밀양,2021-01-01 02:00,-5.2,,.2,0,71,,,,0,2000,-4.6
288,밀양,2021-01-01 03:00,-6.1,,.1,0,74,,,,0,2000,-5.3
288,밀양,2021-01-01 04:00,-7,,0,0,78,,,,0,2000,-5.7
288,밀양,2021-01-01 05:00,-7.2,,.2,0,80,,,,0,2000,-6.1
288,밀양,2021-01-01 06:00,-8.3,,.1,0,83,,,,0,2000,-6.5
288,밀양,2021-01-01 07:00,-8.3,,.2,0,82,,,,0,2000,-6.7
288,밀양,2021-01-01 08:00,-8.5,,.2,0,84,0,,,0,1824,-6.8
288,밀양,2021-01-01 09:00,-6.1,,0,0,74,.5,,,8,1987,-5.4
288,밀양,2021-01-01 10:00,-3.5,,.2,0,62,1,,,1,1841,-1.3
288,밀양,2021-01-01 11:00,-1.4,,.2,0,52,1,,,0,1987,-.2
288,밀양,2021-01-01 12:00,.7,,.6,110,45,1,,,0,1987,1.7
288,밀양,2021-01-01 13:00,2.5,,.8,180,41,1,,,5,2000,5.2
288,밀양,2021-01-01 14:00,3.8,,.7,200,41,.8,,,7,2000,5.9
288,밀양,2021-01-01 15:00,2.8,,2.3,270,43,.6,,,9,2000,5.4
288,밀양,2021-01-01 16:00,2.4,,.2,0,47,0,,,8,2000,3.2
288,밀양,2021-01-01 17:00,2.5,,.3,0,47,0,,,7,2000,1.3
288,밀양,2021-01-01 18:00,.8,,0,0,57,0,,,0,1950,-.3
288,밀양,2021-01-01 19:00,.1,,.2,0,62,,,,1,2000,-.6
288,밀양,2021-01-01 20:00,-1,,0,0,66,,,,2,1987,-1
288,밀양,2021-01-01 21:00,-1.6,,.5,90,70,,,,3,1516,-1.4
288,밀양,2021-01-01 22:00,-3.2,,.2,0,76,,,,0,1541,-2.1
288,밀양,2021-01-01 23:00,-4.2,,0,0,81,,,,0,1108,-2.8
